# Fetched from OECD SDMX: https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PDB@DF_PDB_ISIC4_I4,1.0/NZL.A.GVAHRS.F+C+GTI.IX.Q._Z._Z._Z?startPeriod=2010&format=csvfilewithlabels&dimensionAtObservation=AllDimensions
# Dataflow: DSD_PDB@DF_PDB_ISIC4_I4 (productivity by industry, ISIC rev 4)
# Rebased so 2010 = 100 across all series.
year,construction,manufacturing,services
2010,100.00,100.00,100.00
2011,102.76,96.34,102.25
2012,108.51,100.85,104.14
2013,104.94,100.32,103.16
2014,99.69,99.21,108.66
2015,97.35,99.42,112.63
2016,100.26,105.03,111.70
2017,104.65,104.72,112.63
2018,109.75,110.14,112.38
2019,112.30,108.83,110.62
2020,111.42,108.03,113.65
2021,102.88,111.86,123.07
2022,97.73,101.81,124.65
